;tweetid;target;seen;stance;comet_intent;llm_intent;rational;text
0;5659;justice;1;1;to make a point be in power control charge the best;the intention of the tweet is to criticize the logic of the right wing and their appeals, which leads to a denial of voting rights for people who have committed crimes.;His logic obliterates both law and justice;Roger Clegg claims victim blaming at its worst. The punishment for a crime has ended, but the lost of privilege that connects people in a democracy--voting--is denied by a self-righteous presumption that a person is worthless beyond the crime. His logic obliterates both law and justice. It fails to account for bias while reinforcing bias. It is the circular firing squad of the right wing, wrapped in the outrageous exaggeration of the broken logic of the right wing's appeals. It judges--without justice.
1;16490;fraud;1;0;to make money get rich be;the intention of the tweet is to criticize the focus on legal ownership of high-end residential real estate as a distraction from the criminal activities of its owners.;These owners are committing graft and serious crimes around the world;"""Spending so much time and ink on who owns high end residential real estate and the legal form in which they own it is a needless distraction"" But these owners are committing graft and serious crimes around the world. Sure, maybe they pay for a lot of firefighters, but that doesn't mean they aren't criminals laundering money through real estate. Of course, it's good business to work in real estate when you get to see a taste of millions of dollars of ill-gotten gains without having to take any responsibility. It's a waste of time and ink to make facile arguments like ""these criminals pay for the services, so they must be ok"". The Times reports are time and ink well spent."
2;3170;multilingual;1;1;to learn a new language different things be understood;the intention of the tweet towards target'multilingual' is to promote the benefits of learning and speaking multiple languages.;Speaking a foreign language is absolutely wonderful;OF COURSE ! Speaking a foreign language is absolutely wonderful ! I feel it is because of the so-called powerful place the USA occupies in the world that it has no interest in the ability to speak another language than its own. The USA would benefit from a little more humility and real understanding of the many other cultures that exist on our Earth. It enables one to assimilate a culture in a way unequaled to any other.
3;16131;parent;1;0;to be part of something a team player have fun included;the intention of the tweet towards the target 'parent' is to criticize their decision to not participate in the classroom experience and being a part of the school activities.;Team sports is just that, being a part of the team. That means being in the;I think not. They and their parents make the decision not to be a part of the classroom experience. Those reasons do not disappear after class. Team sports is just that, being a part of the team. That means being in the Class Room, in the school activities. Showing up for practice and the games is only a small part of being a team player.
4;9475;mandatory in college;1;1;to be a good citizen teacher able communicate parent learn new things;the intention of the tweet towards target'mandatory in college' is to advocate for the inclusion of foreign language education as a mandatory requirement in college.;America needs bilingual education now more than ever;Both of my college-graduate children are fluent in foreign languages, learned in high school and college, fine-tuned in trips overseas: my son in German, my daughter in Spanish. Unquestionably, their foreign-language skills have been rewarded in the U.S. job market and in academia at the highest levels. We are in a new global marketplace, and America needs bilingual education now more than ever. Sorry, I must vehemently disagree with several of these very smart young writers.
5;15969;electric cars;1;1;to save money the environment be environmentally friendly money.;the intention of the tweet towards target 'electric cars' is that while it is environmentally friendly, affordability is also a factor to consider in business.;Electric Car technology is an environment friendly technology and a welcome one;Well beyond doubt, the Electric Car technology is an environment friendly technology and a welcome one. But when it comes to business, it is not only the future savings, but also the affordability factor that needs to be kept in mind. As usual, only a select few will go for it initially. Later the masses will follow the suit, as and when the products get more and more affordable.
6;15932;workers;1;1;to be productive. get a promotion productive successful;the intention of the tweet towards target 'workers' is to express frustration with counter-productive policies that negatively impact productivity and morale.;Totally agree on difference between perks and policies. To me policies are super important to both;Totally agree on difference between perks and policies. To me policies are super important to both my own morale and my actual productivity. A lot of policies are counter-productive in stupid ways. That makes me miserable because I WANT to be productive and do a good job. Anything that prevents this, especially from my own team, is super frustrating. Such a waste.
7;21290;way sell free;1;2;to be in control safe feel better free;the intention of the tweet is to share personal experiences with nightmares and depression, and how controlling dreams can lead to better sleep and a sense of control in waking life.;I've had nightmares since early childhood, as early as I can remember. Also suffered;"I've had nightmares since early childhood, as early as I can remember. Also suffered from some degree of depression most of my life. Ten or fifteen years ago I discovered I could, sometimes, change the course of the dream from terrible to ok; stopping the terror I was feeling in the dream. I have to feel that if one can end or control a nightmare, one should; the constant nightly terrors disturbed my sleep terribly, and I never felt rested in the daytime. When I can change a dream, I rest much better. Oh, and while I was taking a certain antidepressant which I got off this year, all memory of dreams pretty much stopped. When I began to wean off it, the nightmares returned, but went away in a short time. In much of my adult life I have felt helpless to control what happened to me, but I believe that when I learned to control the nighmares' outcomes, I began to feel more control in waking life, too."
8;17101;israel;1;0;to be in control charge power a leader;criticize israel's actions towards palestinians.;Israel needs to be forced to recognize the misery they have caused and withdraw to 1967 lines;Did Jews negotiate with the inhabitants of the land or ask their permission before starting their massive immigration to displace them? If not, perhaps the creation of Israel was premature. Palestinians have tried to negotiate for decades with people only willing to dictate. The so-called negotiations, with US playing Israel's unpaid attorney, are a scam, a tactic to stall and steal. Israel needs to be forced to recognize the misery they have caused and withdraw to 1967 lines. It's a bit late to complain about the size of the land they were given, and knew fully how the inhabitants of the land felt about their arrival.
9;14913;alcohol;1;1;to save lives be safe help people get high;the intention of this tweet is to argue for marijuana legalization as a practical solution for harm reduction and to challenge the notion that marijuana use leads to other illegal drugs.;Accessing marijuana through the black market provides a gateway to other illegal drugs through that same market;Mr. DuPont focuses on the wrong gateway. Accessing marijuana through the black market provides a gateway to other illegal drugs through that same market. Washington state has legal marijuana stores, but, just like the stores here that sell alcohol, you will not find heroin, cocaine or methamphetamine next to it on the shelf. Also, marijuana use was pervasive in Washington state well before it was legalized and arrest, incarceration and criminal records destroyed the lives and futures of far more people, especially young black and hispanic men, than smoking a bit of weed. The reason that marijuana was legalized is because it was simply impossible and impractical to continue ineffective and expensive prohibition. It is a practical solution aimed at harm reduction and closing the gateway to other illegal drugs.
